ID,Story,FacScoresQ,FacScoresO,Dataset,ProblemID,set,ID.1,wordcount,peer-DSI,prompt-DSI
1444,I would just explain to Mike he could loose his girlfriend because he is being selfish in keeping the car that is not benefiting him with school or even during the winter and to give the car up and once he graduates he will even be able to buy himself anoher dream car.,0.642876662,0.334142639,RLPS6,Mike,heldout,1587,53,0.8206490874290466,0.8165704011917114
1445,Mike could invest in an SUV from his girlfriends uncle or find a car suitable for his situation.,-0.237132064,-0.757050871,RLPS6,Mike,heldout,1567,18,0.8094999194145203,0.8054075837135315
1446,"The best solution for this problem is for Mike to move to a different apartment or closer to campus.  Since the biggest problem is him not being able to get to class on snowy days and not being able to get up the hill, a different living situation would b best.  This way if he and his girlfriend don't work out, he's not stuck at his apartment when it snows.  He could also walk to classes instead of driving.",0.810507728,1.273884762,RLPS6,Mike,heldout,1526,81,0.8200728893280029,0.8126490712165833
1447,I could just start riding my bicycle or walking to school when the weather gets bad. I could also just park my car at the bottom of the hill and walk to my house.,-0.237132064,0.970981989,RLPS6,Mike,heldout,1475,34,0.8159521222114563,0.8118467926979065
1448,Mike should try the uncle first and see if he can use his current car as a trade in to help lower the cost.,-0.736134003,-0.015974596,RLPS6,Mike,heldout,1537,24,0.814113438129425,0.8121638298034668
1449,"Mike should take the bus, ride a bike, use a skateboard, walk, or use a different form of transportation the majority of the time that way he doesn't have to be a burden to his girlfriend and he doesn't have to give up his dream car, and he doesn't have t pay as much using these other (more affordable) methods.",1.332381995,1.409155491,RLPS6,Mike,heldout,1499,63,0.8167239427566528,0.8071475028991699
1450,"Next time Mike, do a more thorough search of housing. Sell your dream car, as a dream car you already own and constantly drive this early in life is not a keeper. Go with assured quality and get an SUV from your girlfriends uncle.",0.642876662,0.620864754,RLPS6,Mike,heldout,1453,44,0.8263254761695862,0.8247045278549194
1451,"Explain to the girlfriend that I simply cannot afford to buy the more expensive vehicle and tell her that I can either buy the cheaper option, or she has to continue to drive me back and forth.",-0.237132064,-0.605599485,RLPS6,Mike,heldout,1501,37,0.8175524473190308,0.8189910650253296
1452,Sell car and buy the cheap one,-1.284771856,-1.107168106,RLPS6,Mike,heldout,1589,7,0.8093213438987732,0.8109723329544067
1453,I will get a friend that is knows enough about cars that will help me decide which SUV to buy.,-1.094268462,0.923767527,RLPS6,Mike,heldout,1609,20,0.8124073147773743,0.8117721676826477
1454,Mike should explain to his girlfriend and her uncle that he is going with the other car dealership for the SUV because it is cheeper and he just does not have the funds to buy the car for the price her uncle wants.,-0.04662867,0.182691252,RLPS6,Mike,heldout,1506,43,0.8199705481529236,0.8098917603492737
1455,Mike should get a new car from his girlfriend's uncle and pay for her gas until the new car arrives.,-0.926637397,-1.107168106,RLPS6,Mike,heldout,1491,21,0.8085182309150696,0.798596978187561
1456,Start using public transformation and walking to commute to school.,-0.237132064,1.273884762,RLPS6,Mike,heldout,1575,10,0.8287496566772461,0.827487051486969
