solutions,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,fac_scores
I would just explain to Mike he could loose his girlfriend because he is being selfish in keeping the car that is not benefiting him with school or even during the winter and to give the car up and once he graduates he will even be able to buy himself anoher dream car.,3.1783469,3.1594877,3.1307867,3.0818195,2.8549285,2.3888237,1.9731103,1.5420313,1.2734236,1.0614471,0.9493645,0.334142639
Mike could invest in an SUV from his girlfriends uncle or find a car suitable for his situation.,3.3494802,3.295466,3.213263,3.073014,2.6687548,1.912514,1.2696071,0.8692264,0.654284,0.50250596,0.42962557,-0.757050871
"The best solution for this problem is for Mike to move to a different apartment or closer to campus.  Since the biggest problem is him not being able to get to class on snowy days and not being able to get up the hill, a different living situation would b best.  This way if he and his girlfriend don't work out, he's not stuck at his apartment when it snows.  He could also walk to classes instead of driving.",3.0563474,3.140667,3.2689903,3.4879265,3.7558002,4.0,3.9950507,3.3015916,2.795561,2.37681,2.133273,1.273884762
I could just start riding my bicycle or walking to school when the weather gets bad. I could also just park my car at the bottom of the hill and walk to my house.,1.3548067,1.4018291,1.4733915,1.5954865,1.8029318,2.4386911,3.4606438,3.652874,3.599551,3.393696,3.2729607,0.970981989
Mike should try the uncle first and see if he can use his current car as a trade in to help lower the cost.,3.2897186,3.2301028,3.1393766,2.9845836,2.557971,1.7878245,1.1673156,0.8112547,0.62315327,0.48785338,0.42497182,-0.015974596
"Mike should take the bus, ride a bike, use a skateboard, walk, or use a different form of transportation the majority of the time that way he doesn't have to be a burden to his girlfriend and he doesn't have to give up his dream car, and he doesn't have t pay as much using these other (more affordable) methods.",2.8976605,2.8415556,2.7561712,2.610494,2.2270293,1.6251179,1.2797714,1.0905213,0.97586846,0.8642326,0.81360763,1.409155491
"Next time Mike, do a more thorough search of housing. Sell your dream car, as a dream car you already own and constantly drive this early in life is not a keeper. Go with assured quality and get an SUV from your girlfriends uncle.",3.4250176,3.3961246,3.352154,3.2771344,2.986201,2.3638186,1.7500612,1.2381182,0.9432496,0.7327971,0.6233717,0.620864754
"Explain to the girlfriend that I simply cannot afford to buy the more expensive vehicle and tell her that I can either buy the cheaper option, or she has to continue to drive me back and forth.",2.589454,2.5303645,2.4404385,2.2870119,1.9103845,1.4037039,1.2563765,1.2159436,1.1736754,1.0926914,1.0593128,-0.605599485
Sell car and buy the cheap one,1.9188238,1.8532453,1.7534419,1.5831643,1.2214307,0.9219915,1.2055453,1.4889144,1.6041414,1.5898436,1.5939869,-1.107168106
I will get a friend that is knows enough about cars that will help me decide which SUV to buy.,2.1404445,2.0658834,1.9524108,1.7588116,1.3396925,0.90005445,1.0057771,1.2163975,1.3079462,1.2949504,1.3014375,0.923767527
Mike should explain to his girlfriend and her uncle that he is going with the other car dealership for the SUV because it is cheeper and he just does not have the funds to buy the car for the price her uncle wants.,3.0822494,2.9659598,2.7889814,2.487033,1.807272,0.7489084,0.08758729,0.0,0.0,0.0,0.021162447,0.182691252
Mike should get a new car from his girlfriend's uncle and pay for her gas until the new car arrives.,2.6602566,2.5674422,2.4261906,2.1851952,1.6447488,0.8944105,0.5919954,0.62331516,0.6521535,0.6363078,0.6445637,-1.107168106
Start using public transformation and walking to commute to school.,0.9263889,0.922892,0.9175704,0.9084907,0.9067992,1.3760684,2.5255802,3.067435,3.232959,3.1669788,3.13166,1.273884762
