text,ProblemID,set,wordcount,DSI,labelQuality,predictionQuality_GPT2,labelOriginality,predictionOriginality_GPT2,predictionQuality_RoBERTa,predictionOriginality_RoBERTa,prederrorQualGPT2,prederrorQualRoBERTa,prederrorOrigGPT2,prederrorOrigRoBERTa
"Clara needs to quit as a gopher at an architectural firm and apply as a ""gopher"" in the medial field. She could work as a surgical tech, nurses aid, medical assistant, or intern. SHe can ask school questions at work and cross training making school easier. Also, she needs to manage her time better because 15 hours at school and 25 hours at work only equals 40 hours a week, which is not very much if she is planning to attend med school. If she is better at managing her time the transition into the hours she will be spending at school won't be such a culture shock.",Clara,test,109,0.8079255223274231,0.685960536,0.22075602,0.856123585,1.0101222,-0.30682364,0.7858233,0.465204516,0.992784176,-0.15399861500000012,0.07030028499999996
"first you have to look at the practical side and see what else she is doing with the rest of her day? what is doing on the weekend? is there som where else that is open. But if not take the time she is studying and find a tutor, or another student that she can work with. alot of times that is all it takes. Another soloution is to talk to the professor about maybe so extra credit to assit getting her grade up. The last choice to find a job in her feild, or find away to get money else where untill the semester is over.",Clara,test,107,0.8154767155647278,1.521356616,1.035464,0.856123585,1.0077122,1.1128168,0.73232615,0.4858926160000001,0.408539816,-0.1515886150000001,0.12379743499999996
"Work less hours at work and use that time for studying better. She should focus on the classes that she is getting ""c's"" in.",Clara,test,25,0.7617673277854919,0.557457483,0.4610161,-0.697603884,-0.51943254,0.6107604,-0.5837116,0.096441383,-0.053302917,-0.1781713439999999,-0.11389228399999995
spend more time to study and quit some working hours,Clara,test,10,0.7187740206718445,0.557457483,-0.6309284,-1.359391543,-1.11675,0.5776429,-0.9086918,1.188385883,-0.02018541699999998,-0.24264154300000015,-0.450699743
Clara needs to work on the days she goes to school even though she may be tired. then she needs to use the days she has off to study and do homework. those days should only be devoted to school so at least she can relax while she is doing homework.,Clara,test,51,0.7630858421325684,-0.878501899,-0.24816209,0.010652455,0.78051305,-0.50441074,0.57545286,-0.630339809,-0.374091159,-0.769860595,-0.564800405
She should look for a job that will benifit her in the future. Maybe a work study program so she can work for money to go to school and she will be at school. Also the job experience can help her in her studies.,Clara,test,44,0.7748460173606873,-0.406441651,0.024612287,0.625971433,0.07108074,0.57437664,0.22376749,-0.431053938,-0.980818291,0.554890693,0.402203943
"Clara should follow her passion, whatever that is. If its med school, then she should put her schooling first, and the part time job will follow. She needs to prioritize, and follow through headstrong.",Clara,test,34,0.8102350831031799,-0.942753425,0.014105747,-0.927756036,-0.43444827,-0.4463598,-0.61124855,-0.956859172,-0.49639362500000006,-0.493307766,-0.316507486
If I were her I would figure out when my tests were in the future and try to work my 25 hours around my tests and assignments.  This would give her more study time when she needs it most.,Clara,test,39,0.7928528785705566,-0.942753425,0.06742402,0.194335926,0.022851657,0.49130434,0.149559,-1.010177445,-1.434057765,0.171484269,0.04477692599999999
"Clara should speak with her supervisor and school advisor about her dilemma. Perhaps she could drop some hours at work and spend more time on her school work. Or, she could taker some school work with her to her job.",Clara,test,40,0.7762293219566345,0.557457483,0.37566212,-0.035816226,-0.26584098,0.5693205,-0.1061681,0.181795363,-0.01186301700000003,0.230024754,0.07035187400000001
"Clara should talk to her boss at work about maybe cutting some of her hours at work to allow for more study time for her schooling. After clearing up her schedule a little without so much work, Clara should dedicate some time to the two classes where she is barely pulling ""C's"". If cutting her work hours still has no effect, Clara should devise a schedule for better time management and possilby cut out other things that don't pertain to her retrieving better grades, such as going out on weekends or watching tv. Just leisure activities in general, at least for awhile until everything is nice and dandy for her.",Clara,test,112,0.8208062052726746,1.64985967,0.9142263,0.194335926,0.83718055,0.80328614,0.9639741,0.7356333699999998,0.8465735299999999,-0.6428446240000001,-0.769638174
