ID,Story,FacScoresQ,FacScoresO,Dataset,ProblemID,set,ID.1,wordcount,qwenDSI-3
1,She could leave an anonymous note for the manager saying one of the employees was stealing.,-1.411283851,0.313362334,RLPS1,Becky,training,201,16,0.3911484479904175
2,I think Becky should tell Jim that what he done is wrong and he should be the one who tell Mark about all the stealing pizza.,-1.411283851,-0.596276243,RLPS1,Becky,training,269,26,0.414221853017807
3,"To begin I think that it is great that Becky has not continued to shoplift and is trying to get her life going in the right direction. In my life one of the quotes that I go by is ""watch the company that you keep"" I go by this because the people that you urround yourself with will be the people that you begin to look to for such things as advice and comfort. If those people are not heading in the same direction as you are with your life then it could become a burden on your life and start to hold you backfrom your goals. Becky's first problem is associating herself with someone who is continuously making the same mistake that she made by shoplifting. One solution that could work would be for Becky to sit down with Jim and rationally explain to him that wht he is doing is wrong and is not only hurting the store but in the long run could really hurt him, even if he thinks that he will never get caught. The manager of the Pizzeria has to know that Becky and Jim live together and since Becky already has a pas with shoplifting her manager will automatically connect her with the missing pizzas. If talking to Jim about it does not work then the next best thing to do in my opinion would be to either go to the manager and just let him know that you have been noticng that the stock for the pizzas has been decreasing and your not sure where the stock has been going to, so then the manager can look into it. Bringing it to his attention would clear up your name because you were honest. Or another thing you could do wold be to notify the manager that you do know for sure someone has been stealing pizzas but you do not know who it is, that way the manager can address the issue to the whole staff, leave the fact that you informed him out of it and then hopefully that woud give Jim a good enough reason to stop.",3.9719467,1.033758724,RLPS1,Becky,training,237,358,0.46044081449508667
4,Becky should talk to Jim about the choices he has been making and let me know what he should be doing instead because if someone else sees him doing the wrong things he may get hired. Becky could also give Mark a heads up and tell him to watch Jim while tey are working and see if Mark sees anything wrong with Jim.,1.165037939,0.054535079,RLPS1,Becky,training,47,63,0.4615142345428467
5,"Becky should start by talking to Jim about this problem, and tell him that if he does not stop doing what he is doing she will have to report him.  He may be a good friend to Becky but if its found out that she knew about his behavior and did nothing it culd be her job that she loses.",0.107464015,-0.484258882,RLPS1,Becky,training,222,60,0.44270122051239014
6,"Becky needs to tell her manager the situation.  It is really important that she tells him because she doesn't want to get in trouble again for stealing pizzas!  Even though she is afraid of losing her friendship, she will be much better off if she tells te truth. In the long run, it is the right thing for her to do!",-1.411283851,-0.743086137,RLPS1,Becky,training,196,62,0.4476882815361023
7,"If Becky truely does not want to get Jim in trouble, but feels obligated to say something, she should talk to Jim about his actions. Becky could advise Jim to stop stealing from their job and change his attitude or she could encourage Jim to self report hmself. If Jim continues his bad behaviors, and she still feels it's her responsiblity to inform Mark, she can turn Jim in.",-0.353709927,-0.484258882,RLPS1,Becky,training,25,70,0.4772285521030426
8,"Sucks to be Becky. 
Since Becky values their friendship, she should approach her friend (wow can't believe I forgot his name already)and talk to him privately about his stealing from the pizzeria. If whatshisname values their friendship also, he will sto stealing because he knows how important this job is to Becky. If he does not, than that tells Becky what kind of friend he really is, so she shouldn't feel too bad to talk to the manager.",1.39562491,-0.484258882,RLPS1,Becky,training,150,81,0.46462082862854004
9,"Solution- A situation like this would be very hard on any one, Becky needs to look back on her life and reflect on where she is coming from and make the right decision of informing Mark about what's going on with Jim. However Mark decides to deal with it s not her concern. If Jim is not able to pay his rent thats not her business either. As a friend, as harsh as it may seem Becky would be doing the right thing. Jim would be able to learn from his mistakes if things turn out badly, where as he lost his jobor home or even both and understand that he was wrong and move on from that aspect of his life. Time is key in this situation because only time would help Jim and Becky's friendship if it goes downhill. Time, in order for him to understand. By helping heremployer's business, if Jim cant pay his part of the rent after, maybe Mark would be more generous in helping Becky out after such an ordeal.",1.39562491,-0.596276243,RLPS1,Becky,training,335,179,0.4748910665512085
10,"I would first talk to Jim about the problem. I would tell him that I am aware of all of the food stealing he has done and that I don't think it is right especially because we have such a great boss. I would tell him that I won't tell Mark about this time ut if I ever see or hear about Jim doing this again, then Mark will be notified.",-0.123122956,-0.484258882,RLPS1,Becky,training,226,73,0.4410037696361542
11,"Becky should confront Jim first, asking him why he took the pizzas. After the discussion, she should suggest that Jim tell the manager what he did and pay for the pizzas. If Jim refuses to tell the manager, Becky should then notify the manager of Jim's acions.",-0.353709927,-0.225431627,RLPS1,Becky,training,147,48,0.4417862892150879
12,"talk to jim directly about the problem instead of involving the manager that way jim wont lose his job, and becky wont have to go behind jims back causing problems in the friendship.  if becky just explains the position he has put her in hopefully he willtry and fix his behavior problems.",0.107464015,-0.743086137,RLPS1,Becky,training,272,52,0.44000503420829773
13,"Becky should talk to Jim about what he is doing and tell him it is unacceptable. If Jim doesn't stop, then she should talk to Mark about it. Let Mark decide the final action.",-1.872457793,-0.484258882,RLPS1,Becky,training,242,35,0.45109817385673523
