...1,Solutions,FacScoresQ,FacScoresO,Dataset,ProblemID,set,ID,wordcount,DSI,promptCosDis,peerCosDis
1,"She could leave an anonymous note for the manager saying one of the employees was stealing.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-1.411283851,0.313362334,RLPS1,Becky,training,201,16,0.769416868686676,0.12654811143875122,0.014585256576538086
2,"I think Becky should tell Jim that what he done is wrong and he should be the one who tell Mark about all the stealing pizza.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-1.411283851,-0.596276243,RLPS1,Becky,training,269,26,0.7770792245864868,0.12019073963165283,0.012122571468353271
3,"To begin I think that it is great that Becky has not continued to shoplift and is trying to get her life going in the right direction. In my life one of the quotes that I go by is ""watch the company that you keep"" I go by this because the people that you urround yourself with will be the people that you begin to look to for such things as advice and comfort. If those people are not heading in the same direction as you are with your life then it could become a burden on your life and start to hold you backfrom your goals. Becky's first problem is associating herself with someone who is continuously making the same mistake that she made by shoplifting. One solution that could work would be for Becky to sit down with Jim and rationally explain to him that wht he is doing is wrong and is not only hurting the store but in the long run could really hurt him, even if he thinks that he will never get caught. The manager of the Pizzeria has to know that Becky and Jim live together and since Becky already has a pas with shoplifting her manager will automatically connect her with the missing pizzas. If talking to Jim about it does not work then the next best thing to do in my opinion would be to either go to the manager and just let him know that you have been noticng that the stock for the pizzas has been decreasing and your not sure where the stock has been going to, so then the manager can look into it. Bringing it to his attention would clear up your name because you were honest. Or another thing you could do wold be to notify the manager that you do know for sure someone has been stealing pizzas but you do not know who it is, that way the manager can address the issue to the whole staff, leave the fact that you informed him out of it and then hopefully that woud give Jim a good enough reason to stop.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",3.9719467,1.033758724,RLPS1,Becky,training,237,358,0.8207663297653198,0.07189267873764038,0.07343417406082153
4,"Becky should talk to Jim about the choices he has been making and let me know what he should be doing instead because if someone else sees him doing the wrong things he may get hired. Becky could also give Mark a heads up and tell him to watch Jim while tey are working and see if Mark sees anything wrong with Jim.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",1.165037939,0.054535079,RLPS1,Becky,training,47,63,0.7919822931289673,0.09399306774139404,0.013342440128326416
5,"Becky should start by talking to Jim about this problem, and tell him that if he does not stop doing what he is doing she will have to report him.  He may be a good friend to Becky but if its found out that she knew about his behavior and did nothing it culd be her job that she loses.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",0.107464015,-0.484258882,RLPS1,Becky,training,222,60,0.7855586409568787,0.0970383882522583,0.013476431369781494
6,"Becky needs to tell her manager the situation.  It is really important that she tells him because she doesn't want to get in trouble again for stealing pizzas!  Even though she is afraid of losing her friendship, she will be much better off if she tells te truth. In the long run, it is the right thing for her to do!
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-1.411283851,-0.743086137,RLPS1,Becky,training,196,62,0.783304750919342,0.09275144338607788,0.013058304786682129
7,"If Becky truely does not want to get Jim in trouble, but feels obligated to say something, she should talk to Jim about his actions. Becky could advise Jim to stop stealing from their job and change his attitude or she could encourage Jim to self report hmself. If Jim continues his bad behaviors, and she still feels it's her responsiblity to inform Mark, she can turn Jim in.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-0.353709927,-0.484258882,RLPS1,Becky,training,25,70,0.7989965081214905,0.07926821708679199,0.015379786491394043
8,"Sucks to be Becky. 
Since Becky values their friendship, she should approach her friend (wow can't believe I forgot his name already)and talk to him privately about his stealing from the pizzeria. If whatshisname values their friendship also, he will sto stealing because he knows how important this job is to Becky. If he does not, than that tells Becky what kind of friend he really is, so she shouldn't feel too bad to talk to the manager.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",1.39562491,-0.484258882,RLPS1,Becky,training,150,81,0.7999268174171448,0.07837134599685669,0.018865883350372314
9,"Solution- A situation like this would be very hard on any one, Becky needs to look back on her life and reflect on where she is coming from and make the right decision of informing Mark about what's going on with Jim. However Mark decides to deal with it s not her concern. If Jim is not able to pay his rent thats not her business either. As a friend, as harsh as it may seem Becky would be doing the right thing. Jim would be able to learn from his mistakes if things turn out badly, where as he lost his jobor home or even both and understand that he was wrong and move on from that aspect of his life. Time is key in this situation because only time would help Jim and Becky's friendship if it goes downhill. Time, in order for him to understand. By helping heremployer's business, if Jim cant pay his part of the rent after, maybe Mark would be more generous in helping Becky out after such an ordeal.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",1.39562491,-0.596276243,RLPS1,Becky,training,335,179,0.8099381327629089,0.07517743110656738,0.03985220193862915
10,"I would first talk to Jim about the problem. I would tell him that I am aware of all of the food stealing he has done and that I don't think it is right especially because we have such a great boss. I would tell him that I won't tell Mark about this time ut if I ever see or hear about Jim doing this again, then Mark will be notified.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-0.123122956,-0.484258882,RLPS1,Becky,training,226,73,0.7887160181999207,0.08849763870239258,0.013751387596130371
11,"Becky should confront Jim first, asking him why he took the pizzas. After the discussion, she should suggest that Jim tell the manager what he did and pay for the pizzas. If Jim refuses to tell the manager, Becky should then notify the manager of Jim's acions.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-0.353709927,-0.225431627,RLPS1,Becky,training,147,48,0.7860493063926697,0.09369558095932007,0.01067197322845459
12,"talk to jim directly about the problem instead of involving the manager that way jim wont lose his job, and becky wont have to go behind jims back causing problems in the friendship.  if becky just explains the position he has put her in hopefully he willtry and fix his behavior problems.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",0.107464015,-0.743086137,RLPS1,Becky,training,272,52,0.7926159501075745,0.09707742929458618,0.015905559062957764
13,"Becky should talk to Jim about what he is doing and tell him it is unacceptable. If Jim doesn't stop, then she should talk to Mark about it. Let Mark decide the final action.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-1.872457793,-0.484258882,RLPS1,Becky,training,242,35,0.7785568237304688,0.1128770112991333,0.010153710842132568
14,"Becky should first confront mark and let him know that she knows what's been going on. she should tell him it's wrong to steal and that he should stop. If he does not stop stealing, Becky should tell the manager and then the matter will deal with the issu.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-1.872457793,-0.484258882,RLPS1,Becky,training,298,51,0.7859388589859009,0.09612905979156494,0.011182665824890137
15,"Becky should tell Mark about Jim. Mark has given Becky the benefit of the doubt by giving her a job and working around her schedule. Jim is disrespecting Mark by making pizza's and taking them home. That is stealing from the company. Even though Jim is Beky's roomate, Becky should inform Mark of the current situation.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",0.107464015,-0.743086137,RLPS1,Becky,training,203,58,0.7931734323501587,0.08403176069259644,0.012183189392089844
16,"becky should tell the manager the truth, if jim is unable to find another job then becky should find a new roommate. sooner or later the manager will suspect becky since she has had record of shoplifting in the past.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-0.123122956,0.313362334,RLPS1,Becky,training,59,40,0.7840113639831543,0.10601651668548584,0.010601341724395752
17,"Morally the right thing for Becky to do would be to tell her boss. However, to be a good friend would to be not to tell on Jim. The only creative solution to this problem would to be to try and talk to Jim one on one. Give Jim the decision of whether or nt he wants Becky to inform their boss of what he has been doing. As a friend he should understand where Becky is coming from and want to take the strain off her.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-0.123122956,-1.023052843,RLPS1,Becky,training,327,87,0.790020227432251,0.09269106388092041,0.0171506404876709
18,"Becky could pay for the pizzas herself - or at least half of them. That would help take some of the guilt away. She could also spend some of her free time trying to find a new job for Jim - one that he would like more. She could also just move to Italy an start a new life.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.
Today is a good day because the rain has stopped and the weather is pretty fine. So I'm calling my friend to go to the park for a walk together.",-0.353709927,2.34903445,RLPS1,Becky,training,230,57,0.7837945222854614,0.10024833679199219,0.01250535249710083
