solutions,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,fac_scores
She could leave an anonymous note for the manager saying one of the employees was stealing.,2.1683145,2.1854768,2.2202344,2.236593,2.2237642,2.4476094,2.634703,2.8824725,2.541546,2.317811,2.2043405,0.313362334
I think Becky should tell Jim that what he done is wrong and he should be the one who tell Mark about all the stealing pizza.,3.0590367,2.9940484,2.9012673,2.6837776,2.2609339,1.8188293,1.1873463,0.86593455,0.617112,0.5104053,0.48649538,-0.596276243
"To begin I think that it is great that Becky has not continued to shoplift and is trying to get her life going in the right direction. In my life one of the quotes that I go by is ""watch the company that you keep"" I go by this because the people that you urround yourself with will be the people that you begin to look to for such things as advice and comfort. If those people are not heading in the same direction as you are with your life then it could become a burden on your life and start to hold you backfrom your goals. Becky's first problem is associating herself with someone who is continuously making the same mistake that she made by shoplifting. One solution that could work would be for Becky to sit down with Jim and rationally explain to him that wht he is doing is wrong and is not only hurting the store but in the long run could really hurt him, even if he thinks that he will never get caught. The manager of the Pizzeria has to know that Becky and Jim live together and since Becky already has a pas with shoplifting her manager will automatically connect her with the missing pizzas. If talking to Jim about it does not work then the next best thing to do in my opinion would be to either go to the manager and just let him know that you have been noticng that the stock for the pizzas has been decreasing and your not sure where the stock has been going to, so then the manager can look into it. Bringing it to his attention would clear up your name because you were honest. Or another thing you could do wold be to notify the manager that you do know for sure someone has been stealing pizzas but you do not know who it is, that way the manager can address the issue to the whole staff, leave the fact that you informed him out of it and then hopefully that woud give Jim a good enough reason to stop.",3.3266513,3.3695455,3.4371665,3.4499085,3.3696237,3.3270035,3.0136824,2.6819181,2.0085318,1.6264764,1.4271019,1.033758724
Becky should talk to Jim about the choices he has been making and let me know what he should be doing instead because if someone else sees him doing the wrong things he may get hired. Becky could also give Mark a heads up and tell him to watch Jim while tey are working and see if Mark sees anything wrong with Jim.,3.1985264,3.1151385,2.9940875,2.7274306,2.2209322,1.6495053,0.86628026,0.4490259,0.23350723,0.15809171,0.15665628,0.054535079
"Becky should start by talking to Jim about this problem, and tell him that if he does not stop doing what he is doing she will have to report him.  He may be a good friend to Becky but if its found out that she knew about his behavior and did nothing it culd be her job that she loses.",3.0613644,2.9820464,2.8677738,2.6176777,2.144173,1.6364889,0.94280547,0.6027999,0.40236923,0.32903025,0.32690167,-0.484258882
"Becky needs to tell her manager the situation.  It is really important that she tells him because she doesn't want to get in trouble again for stealing pizzas!  Even though she is afraid of losing her friendship, she will be much better off if she tells te truth. In the long run, it is the right thing for her to do!",2.3209333,2.2662582,2.1925766,2.037937,1.7519196,1.6004149,1.4014621,1.481704,1.3536075,1.2852201,1.2752734,-0.743086137
"If Becky truely does not want to get Jim in trouble, but feels obligated to say something, she should talk to Jim about his actions. Becky could advise Jim to stop stealing from their job and change his attitude or she could encourage Jim to self report hmself. If Jim continues his bad behaviors, and she still feels it's her responsiblity to inform Mark, she can turn Jim in.",3.4182615,3.362985,3.2829912,3.0683043,2.630625,2.113715,1.3344116,0.8353731,0.47754002,0.31767893,0.26448494,-0.484258882
"Sucks to be Becky. 
Since Becky values their friendship, she should approach her friend (wow can't believe I forgot his name already)and talk to him privately about his stealing from the pizzeria. If whatshisname values their friendship also, he will sto stealing because he knows how important this job is to Becky. If he does not, than that tells Becky what kind of friend he really is, so she shouldn't feel too bad to talk to the manager.",2.832286,2.8081264,2.7776682,2.6648536,2.4163587,2.2338605,1.89551,1.7431303,1.402919,1.2197708,1.1426581,-0.484258882
"Solution- A situation like this would be very hard on any one, Becky needs to look back on her life and reflect on where she is coming from and make the right decision of informing Mark about what's going on with Jim. However Mark decides to deal with it s not her concern. If Jim is not able to pay his rent thats not her business either. As a friend, as harsh as it may seem Becky would be doing the right thing. Jim would be able to learn from his mistakes if things turn out badly, where as he lost his jobor home or even both and understand that he was wrong and move on from that aspect of his life. Time is key in this situation because only time would help Jim and Becky's friendship if it goes downhill. Time, in order for him to understand. By helping heremployer's business, if Jim cant pay his part of the rent after, maybe Mark would be more generous in helping Becky out after such an ordeal.",2.7875748,2.7331338,2.6575017,2.4784372,2.1296453,1.8249658,1.381302,1.215797,0.98833376,0.87990016,0.8508145,-0.596276243
"I would first talk to Jim about the problem. I would tell him that I am aware of all of the food stealing he has done and that I don't think it is right especially because we have such a great boss. I would tell him that I won't tell Mark about this time ut if I ever see or hear about Jim doing this again, then Mark will be notified.",2.8152354,2.792359,2.7639084,2.654915,2.413254,2.2421956,1.9182845,1.7764502,1.4354622,1.2507509,1.1723652,-0.484258882
